Category,AUROC,BestThr,Precision,Recall,F1,Specificity,BalancedAcc,Error%
candle,0.97060,0.01574,0.86486,0.96000,0.90995,0.85000,0.90500,9.50000
capsules,0.69250,0.04427,0.65101,0.97000,0.77912,0.13333,0.55167,34.37500
cashew,0.96560,0.03316,0.90654,0.97000,0.93720,0.80000,0.88500,8.66667
chewinggum,0.99200,0.03706,1.00000,0.96000,0.97959,1.00000,0.98000,2.66667
fryum,0.94060,0.03428,0.92079,0.93000,0.92537,0.84000,0.88500,10.00000
macaroni1,0.92120,0.02351,0.82243,0.88000,0.85024,0.81000,0.84500,15.50000
macaroni2,0.73600,0.03749,0.64234,0.88000,0.74262,0.51000,0.69500,30.50000
pcb1,0.97580,0.03868,0.93939,0.93000,0.93467,0.94000,0.93500,6.50000
pcb2,0.93980,0.02801,0.81034,0.94000,0.87037,0.78000,0.86000,14.00000
pcb3,0.90426,0.04053,0.88506,0.77000,0.82353,0.90099,0.83550,16.41791
pcb4,0.99366,0.03517,0.98020,0.99000,0.98507,0.98020,0.98510,1.49254
pipe_fryum,0.98080,0.03809,0.95146,0.98000,0.96552,0.90000,0.94000,4.66667
Mean,0.91774,,0.86454,0.93000,0.89194,0.78704,0.85852,12.85712
